Timestamp,Endpoint,Method,AvgResponseTime(ms),P95(ms),P99(ms),TPS,ConcurrentUsers,ErrorRate(%),CPU(%),Memory(%)
2026-06-20 10:00,/login,POST,120,210,320,180,500,0.10,45,58
2026-06-20 10:00,/register,POST,180,290,430,45,120,0.30,46,59
2026-06-20 10:00,/products,GET,90,160,240,950,1200,0.05,52,61
2026-06-20 10:00,/products/{id},GET,95,170,250,840,1100,0.04,51,60
2026-06-20 10:00,/search,GET,140,260,390,650,900,0.08,58,65
2026-06-20 10:00,/cart,GET,110,190,280,240,400,0.06,48,60
2026-06-20 10:00,/cart,POST,170,310,450,210,350,0.20,55,63
2026-06-20 10:00,/cart,PUT,165,300,440,180,320,0.18,54,63
2026-06-20 10:00,/orders,POST,340,580,820,95,250,1.10,72,76
2026-06-20 10:00,/orders,GET,190,320,460,220,350,0.20,58,65
2026-06-20 10:00,/payment,POST,430,760,1040,75,180,2.20,81,79
2026-06-20 10:00,/refund,POST,390,680,980,18,60,1.60,76,74
2026-06-20 10:00,/payment/status/{paymentId},GET,170,290,420,130,220,0.15,57,64
2026-06-20 10:00,/notifications,GET,80,140,210,160,260,0.03,41,54

2026-06-20 11:00,/login,POST,130,225,340,220,650,0.12,47,59
2026-06-20 11:00,/products,GET,95,170,255,1050,1500,0.05,56,64
2026-06-20 11:00,/search,GET,155,285,430,760,1050,0.10,61,67
2026-06-20 11:00,/cart,POST,185,335,470,250,420,0.22,58,66
2026-06-20 11:00,/orders,POST,360,610,860,110,300,1.20,75,78
2026-06-20 11:00,/payment,POST,460,810,1090,82,210,2.40,84,81
2026-06-20 11:00,/notifications,GET,82,145,220,175,280,0.03,42,55

2026-06-20 12:00,/login,POST,135,235,350,250,700,0.15,50,60
2026-06-20 12:00,/products,GET,100,180,260,1150,1700,0.05,60,67
2026-06-20 12:00,/search,GET,165,300,445,810,1200,0.12,64,70
2026-06-20 12:00,/cart,POST,195,350,490,280,470,0.25,61,68
2026-06-20 12:00,/orders,POST,390,640,910,120,340,1.40,78,80
2026-06-20 12:00,/payment,POST,495,860,1160,90,240,2.60,87,83
2026-06-20 12:00,/refund,POST,420,720,1010,22,65,1.80,79,77

2026-06-20 13:00,/login,POST,145,245,360,290,800,0.18,53,62
2026-06-20 13:00,/products,GET,108,188,270,1250,1850,0.06,64,70
2026-06-20 13:00,/products/{id},GET,112,192,280,1020,1500,0.05,63,69
2026-06-20 13:00,/search,GET,175,315,470,890,1300,0.14,67,73
2026-06-20 13:00,/cart,POST,210,365,510,320,520,0.28,65,72
2026-06-20 13:00,/orders,POST,420,690,960,135,380,1.60,82,84
2026-06-20 13:00,/payment,POST,530,910,1230,102,270,2.80,91,86

2026-06-20 14:00,/login,POST,155,260,380,320,900,0.20,56,63
2026-06-20 14:00,/products,GET,115,200,290,1320,2000,0.07,67,72
2026-06-20 14:00,/search,GET,188,335,500,940,1450,0.18,71,76
2026-06-20 14:00,/cart,POST,225,390,545,360,610,0.32,69,75
2026-06-20 14:00,/orders,POST,460,740,1030,150,430,1.80,86,88
2026-06-20 14:00,/payment,POST,575,980,1320,115,310,3.10,94,90
2026-06-20 14:00,/payment/status/{paymentId},GET,185,320,460,180,340,0.20,63,68

2026-06-20 15:00,/login,POST,165,275,395,350,1000,0.22,58,65
2026-06-20 15:00,/products,GET,122,215,305,1450,2200,0.08,70,74
2026-06-20 15:00,/products/{id},GET,120,210,300,1200,1800,0.07,69,73
2026-06-20 15:00,/search,GET,205,360,540,1030,1600,0.22,75,79
2026-06-20 15:00,/cart,POST,245,420,590,410,720,0.38,74,80
2026-06-20 15:00,/orders,POST,510,810,1120,170,500,2.10,91,91
2026-06-20 15:00,/payment,POST,640,1080,1450,130,360,3.60,97,93
2026-06-20 15:00,/refund,POST,470,810,1125,28,90,2.00,86,84
